comment,y_true,y_pred
cả tuyệt_vời trong tầm giá thiết_kế đẹp sang_trọng pin sử_dụng hai ngày mới hết dù bật mạng number,Positive,Positive
sim mobi mình k đọc dù sim viettel dù đổi number ok sim mobi k hiển_thị,Negative,Negative
sạc numberhnumber tùy thôi đt number tổn_hại máy lắm máy chơi game tốt công_nhận đầu mk mua chiến lq thôi rủ_rê mk pubg đầu mk sợ nó ko vô đc game nó vượt ngoài mong tưởng mk vs tầm giá em nó trải nghiệm thế quá tuyệt_vời trải nghiệm number tháng mk,Positive,Positive
máy dùng tới number tháng đả giật lác rồikhông hiểu sao mua ở thế thới di_động còn điện_thoại đểu v rẻ_tiền khác tưởng đâu dùng ngon ai_ngờ,Negative,Negative
mình mua number tuần mọi thứ ok pin tụt hơi nhanh xem video tụt nhanh,Neutral,Neutral
dòng máy quá tuyệt pin sài number giờ chiều đến number phút còn number pin goi video xem youtube choi games liên_tục tôi thích cảm on shoop nhé,Positive,Positive
mua number ngày sánh vsmart live huawei numberi sử_dụng pin rõ chán tần_suất sử_dụng ít hơn hẳn mấy pin làm mới nửa ca còn number pin zalo lâu_lâu lướt face game cờ_tướng nhẹ youtube ngang pin máy numberf bằng một nửa máy sử_dụng còn cấu_hình mượt đẹp chụp hình tốt,Positive,Positive
mong_đợi pin tuột quá nhanhtừ numberh tối đến sáng tuột number pintrong k xài hết,Negative,Negative
rẻ chiến đc tất_cả game k sợ lag loa nghe ấm nói_chung ok hàng việt thế quá ngon,Positive,Positive
sản_phẩm sài tạm thích camera pin trâu còn đt sài ko biết bạn nào giống mình ko sài ứng_dụng dể một tối bấm hoài mới cài nhạc chuông điện_thoại hay mất,Neutral,Negative
sản_phẩm mong_đợi cảm_ứng nhảy lung_tung mượt thua máy mnumber mua mắc gấp đôi biết bọ lỗi cảm_ứng,Negative,Negative
quá tuyệt mình dùng samsung anumbers thất_vọng nhờ nv tư_vấn nhiệt_tình mình chuyển sang dùng mẫu oppo thực sản_phẩm túi_tiền cấu_hình cao hơn mẫu samsung,Positive,Positive
mua đc number tuần dùng mượt camera miếng dán k ad camera nó lòi quá sợ trầy,Neutral,Positive
mình mới mua chiều nay khá tạm ổn,Neutral,Neutral
bình_thường thôi máy đắt quá nhận ko giống giá sạc pin chậm chụp ảnh ok ko chế_độ làm mịn,Negative,Negative
ko hiểu sao máy em mua về chơi zing speed mobile đơ dạ shop mong cách khắc_phục ạ hay chip mới tối_ưu,Negative,Negative
vừa mua trưa number đánh_giá sơ_bộ trải nghiệm ban_đầu rất tốt cam chụp cực nét còn tổng_thể về lâu_dài thì phải chờ xem thời_gian tới nào tạm number và thêm number vì nhân_viên tư_vấn của thegioididong hội an rất nhiệt_tình,Positive,Positive
mình mới mua về một tháng lỗi chỉnh mong thế_giới di_động hỗ_trợ_giúp,Negative,Negative
rom numbergb mua về chẳng tải dc mấy ứng_dụng gần đầy r sao phần_mềm máy chiếm gần numbergb,Negative,Negative
bật numberg hay wifi tuột pin quá cảm_ứng ok may ưng_ý pin hơi tuột thôi,Positive,Negative
máy dùng mới dk mấy ngày thấy ổn còn biếtvân tay nhận_diện khuôn_mặt cực nhạy,Positive,Positive
camera xoay ngang điện_thoại sao nó hiển_thị full hết sóng hơi yếu,Negative,Negative
nói số number trong tầm giá ko ngờ luôn máy chụp ảnh đẹp pin trâu cấu_hình game mướt bạn mua hàng chính hãng tuy cao hơn mấy trăm máy chính hãng ổn_định ko lỗi vặt nóng máy xách tay máy xách tay up rom tầm giá nó đứng_số number ko ai dám đứng_số number nhé,Positive,Positive
sản_phẩm dùng oki tôi hài_lòng pin trâu chụp ảnh nét đẹp tôi đánh_giá vivo snumberpro máy tầm giá trung hợp_lý chơi game tốt chụp ảnh nét máy vận_hành mượt tôi đánh_giá iphone vs sam sungsnumber utrall number điểm tôi đánh_giá vivo snumberpro number điểm,Positive,Positive
màn_hình xài tự_nhiên tối xài tính_năng tự_động chỉnh độ sáng tắt máy mở mới bluetooth lỗi nghe nhạc giật đứt_quãng ức_chế,Negative,Negative
mua hôm_nay number nguyễn hoàng trảng bom đồng nai hài_lòng về sản_phẩm phục_vụ tgdđ,Positive,Positive
mua về nãy trải ngiệm ok mượt nv phục_vụ tận_tình de thuong chu_đáo,Positive,Positive
mình sử_dụng máy number ngày camera tốt pin trâu cầm nắm thoải_mái hiệu_năng cao trong tầm giá lỗi xem youtube hdr xám fix bản cập_nhật,Positive,Positive
sản_phẩm cấu_hình đẹp pin trâu sạc biết sạc nhanh ko mình sạc thấy nhanh giá tốt còn chơi game mình nghĩ máy ko thích_hợp mình thử,Positive,Positive
mua đt gần number tháng màn_hình đẹp thao_tác mượt camera chụp hình nét cảm_biến vân tay ok tay mình thường mồ_hôi máy mở khóa chính_xác bạn cài_đặt vân tay ít thao_tác tay màn_hình number xác máy báo khớp đúng cảm_biến vân tay kh tệ bạn nghỉ đâu ok hơi chậm vs đối_thủ trong phân khúc thôi,Positive,Positive
quá thất_vọng xài unumber chuyển con thiết_kế màu đẹp hơn đơ xài loạn cảm_ứng,Negative,Negative
top number mức giá android tốt nhất gọn_nhẹ nhanh đẹp number mình dùng number tháng mọi ổn,Positive,Positive
ss tầm trung anumber trở xuống sao k máy nào đc đánh_giá khoảng numbersao hết_mình định mua con anumber dự chất_lượng sản ngày đi xuống haiiizzz,Negative,Negative
sao tôi lưu về number số ảnh tải ứng dụnng ảnh nó hiển_thị luôn ấy ứng_dụng instagram fbvv thấy ứng_dụng ảnh kh thấy ngộ he,Negative,Negative
mn cảm_thấy con oppo anumber mạng lướt web tốc_độ kém ko ở chỗ đông ng ý trong máy khác lướt đc bt,Negative,Negative
dùng number ngàygặp một_vài lỗi camera thụt thò chậm sóng yếu ở trong phòng number vạch sóng lỗ phát loa thoại nhỏ căn đúng lỗ tai mới nghe rõ loa ngoài mở lớn rè,Negative,Negative
máy mới mua hôm quaxài ngon lắma e ạtại mình hay chơi game ko kiện mua máy xịnthì con mình thấy ok lắm,Positive,Positive
máy đẹpsử_dụng tốt hợp_lý trong tầm giá thái_độ nv thegioididong nghi tàm hn luôn tốt mọi lần dù mình mua thẻ cào hay đt mới,Positive,Positive
pin hơi yếu sim nhận reset máy loa mở tô dè trong tầm giá quá ổn đòi_hỏi thêm,Negative,Negative
điện_thoại mới mua hơn một tuần sài ổn pin trâu mạnh dạng đánh_giá number sao,Positive,Positive
mua con thôi tôi lấy anumber samsung ngon hơn chip exynos number chạy liên_quân max cấu hìnhbao đâm,Neutral,Negative
máy tầm giá quá ngon mn à ủng_hộ hàng vn nhiệt_tình đi mn ơi,Positive,Positive
sài đc number tuần cảm_thấy ok tốt trong tầm giáchơi game auto mượt pin cực trâu nói_chung sản_phẩm quá tốt trong tầm phân khúc giá bạn mua sản_phẩm,Positive,Positive
