comment,sentiment,main_aspect,n_star,aspects_list
mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm_thấy hài_lòng về chất_lượng,Positive,PRICE,5,"[('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
khá ổn trong tầm giá cam đẹp sạc nhanh màn_hình đẹp âm_thanh hay phù_hợp người thích chơi game tuy_nhiên màn_hình hơi tối ngoài_trời,Positive,SCREEN,5,"[('SCREEN', 'Neutral'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe nhỏ nhân_viên phục_vụ nhiệt_tình,Positive,FEATURES,4,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Positive'), ('SER&ACC', 'Positive')]"
máy tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa game ở cấu_hình ổn cảm_biến vân tay quang_học trong màn_hình hơi chậm k hỗ_trợ chụp đêm chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình chu_đáo,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mua dc number tuần máy phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
sản_phẩm quá tuyệt_vời iphone numberplus camera đẹp chơi game sợ number game nào nặng cả mượt game nào đồ_họa cao chơi sụt pin nhanh máy nóng sao iphone number plus tuyệt_vời lắm,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
dùng ok mượt k nóng đt number triệu mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua number ngày ck dùng jnumber còn mình dùng con wifi ck m nào number vạch dt number vạch number vạch đứng luôn k hieur sao dùng thấy bực_mình,Negative,FEATURES,3,"[('FEATURES', 'Negative')]"
dùng đơ máy bấm mãi mới khởi_động song nóng ran chán ko buồn nói kêu bảo_hành phần_mềm chọn đời dùng dc hỏng,Negative,PERFORMANCE,1,"[('PERFORMANCE', 'Negative')]"
lỗi phầm mềm sạc pin ko đem bảo_trì cài máy ko hết lỗi mua quả máy numbertrnumberk ram numbergb về chơi pubg lag vãi chưởng,Negative,BATTERY,1,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral')]"
máy dùng tốt tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy tới numbertr ưng ghê luôn á mọi người mua,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
sạc pin number r k numberh k hao nào s mọi người kêu hao pin nhanh s nhỉ mình thasy pin trâu lun,Positive,BATTERY,5,"[('BATTERY', 'Positive')]"
mình hỏi tắt quảng_cáo điện_thoại ạ mới mua về vài hôm nó tụ phát quảng_cáo hoài ngày mình khoá màn_hình chạy quảng_cáo mong phản_hồi,Negative,PERFORMANCE,5,"[('PERFORMANCE', 'Negative')]"
tất_cả mọi thứ ổn hết màn_hình đẹp máy chạy êm pin sạc nhanh màu mặt lưng đẹp tiết ở phần thiết_kế chi loa ngoài đặt ở bên hông thay đặt ở cạnh tay đè loa sử_dụng í lo chính bản_thân đè quá làm loa hư thêm number nhỏ_xíu xiu mới mua hôm giảm numberđ nay xem tuột xuống đươc giảm hẳn numberđ tức ghê 🥴,Positive,SCREEN,4,"[('SCREEN', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Neutral'), ('PRICE', 'Negative'), ('GENERAL', 'Positive')]"
điện_thoại thiết_kế sang_trọng cameraa chụp ảnh tốt pin dùng ổn_định máy dùng mượt đơ,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive')]"
máy màn_hình lớn nhận_diện khuôn_mặt nhanh trong đk trời sáng cấu_hình tạm ổn tác vụ cơ_bản pin trâu nv tgdd nhiệt_tình còn ctkm tặng tai_nghe tgdd làm tốt mua máy chi_nhánh tai_nghe khg hàng đợi number ngày tgdd rút kinh_nghiệm về ctkm kiểu,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Neutral'), ('SER&ACC', 'Neutral')]"
pin trâu giá rẻ cấu_hình ngon mượt máy chơi game tốt nhân_viên tư_vấn nhiệt_tình,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('SER&ACC', 'Positive')]"
mua tương_xứng trong phân khúc chụp ảnh kém mờ pin trâu,Negative,CAMERA,1,"[('CAMERA', 'Negative'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative')]"
cập_nhật ổn camera xấu tệ hy_vọng cập_nhật camera tốt hơn bản,Neutral,CAMERA,3,"[('CAMERA', 'Negative'), ('PERFORMANCE', 'Positive')]"
mới dùng đc tầm nửa tháng thấy khá ok mượt chơi game mức_độ mặc_định ok pin đc lâu sạc nhanh,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mình mua máy samsung anumbers number ngày nói_chung máy xài ổn trong tầm giá pin trâu chơi game xài number đến number ngày còn chơi game liên_quân tầm number ngày chụp hình đẹp máy mượt lâu_lâu cảm_biến vân tay nhạy ngón tay hơi ướt xíu máy nhận vân tay luôn ốp lưng xài hơi xót xíu mình làm trong môi_trường chăn_nuôi bụi cám kia,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Negative')]"
sao thoảng tôi mở máy đợi numbers màn_hình mới nó làm tôi thấy khó_chịu còn ok,Neutral,PERFORMANCE,4,"[('PERFORMANCE', 'Negative'), ('GENERAL', 'Positive')]"
iphone luôn ổn_định thiết_kế mới lỗi_thời mình cầm con iphone nào mình nghĩ pin nó đủ xài trong ngày bạn nào bảo pin nó yếu một ngày xài quá thôi thích iphone lâu tội tài_chính eo_hẹp tich góp cuối năm rước một e zìa quê luôn,Positive,BATTERY,5,"[('BATTERY', 'Neutral'), ('DESIGN', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mua đag dùng thất_vọng camera mờ hay nổi quảng cáopin xuống rraats nhanh khuyên mọi người đừng mua,Negative,CAMERA,1,"[('CAMERA', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
lỗi lưu ảnh viền number góc sáng khá bực mong xiaomi việt_nam sớm cách khắc_phục,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('SER&ACC', 'Neutral')]"
tôi nghĩ nó number star numbertr tầm giá rẻ rách đường truyền chập_chờn nó tôi đánh_giá number star,Neutral,FEATURES,4,"[('FEATURES', 'Negative'), ('PRICE', 'Positive')]"
máy dùng ok cài khóa mk vân tay khuôn_mặt mở ko vuốt mở đc còn ổn bluetooth bình_thường pin lâu nhạc hay,Positive,FEATURES,4,"[('FEATURES', 'Neutral'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive')]"
tgdd tôi còn tin_tưởng một hệ_thống bán_lẻ điện_thoại lớn nhất vn tôi mới mua cửa_hàng số number đường_kính dương vương làm tôi quá thất_vọng cảm_giấc mình lừa thất_vọng vô luôn chắc chuyển hệ_thống khác thôi,Negative,SER&ACC,1,"[('SER&ACC', 'Negative')]"
máy chs game khá mượtpin trâu mọi vấn_đề ok sản_phẩm trong tầm giá quá tuyệt_vời,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
điện_thoại đẹp màn_hình rõ nghe gọi ok chụp hình đẹp giá tầm quá ok nhân_viên tgdd thoại_sơn an giang cực_kỳ dễ_thương luôn 🥰,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('DESIGN', 'Positive'), ('PRICE', 'Positive'), ('SER&ACC', 'Positive')]"
xài ok máy mượt chụp ảnh đẹp sạc nhanh sao bạn chê tào_lao quá pin numberk xài number ngày tốt,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
snumber ultra mức giá bằng oppo find xnumber mua find xnumber oppo hơn hẳn con ultra về cấu_hình màn_hình pin tốc_độ sạc ultra hơn về chụp ảnh thôi còn oppo find xnumber max mượt max phê,Negative,SCREEN,4,"[('SCREEN', 'Negative'), ('CAMERA', 'Positive'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative'), ('SER&ACC', 'Negative')]"
máy mới mua về xài number bựa tự_tiện đo treo logo numberp mới khỏi ding tính_năng chụp màn_hình nứt nguồn giảm âm_lượng chụp,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative')]"
number tuần sử_dụng mình đánh_giá về camera thấy bình_thường cam truớc tốt lắm cấu_hình bằng con vsmart numbertr máy đẹp nhẹ mỏng pin tạm ngày sạc pin number lần bạn nào mua màn đẹp vs camera mua còn mua chơi game ko lựa,Positive,SCREEN,4,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('DESIGN', 'Positive')]"
sản_phẩm tai_nghe hả bạn mình mua bên tgdd noi la_k tai_nghe đúng k ạ,Negative,OTHERS,1,[]
sản_phẩm đẹp tuyệt_vời hi_vọng trong qtrinh sd k xảy lỗi nv nhiệt_tình ms,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('SER&ACC', 'Positive')]"
mua lâu vân tay quá kém dí mãi mới mở đc chơi game vd liên_quân cảm_ứng ko nhạy kém máy nóng thỉnh_thoảng đơ number tý ko mạng hay fpslúc chơi loa ngoài chơi game khá nhỏ bạn nào hay chô game chọn con khác con sang chảnh đc,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('DESIGN', 'Positive')]"
máy okmượtchơi game quá đỉnhcó pin hơi tụt okvừa vs túi_tiền ok,Positive,BATTERY,5,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Negative')]"
notenumber bin tệ máy ko xài tuột phần_trăm sạt đầy number pin ko xài ság tới tối về nhìn còn number pin kia ko làm dì sao mất nhỉ máy mua dk number tuần pin tệ,Negative,BATTERY,1,"[('BATTERY', 'Negative')]"
mình mua dùng chơi game khỏi nói còn về xem phim youtube bật sd mờ điện_thoại khác bật sd,Neutral,SCREEN,5,"[('SCREEN', 'Negative'), ('PERFORMANCE', 'Positive')]"
máy xịn thứ nhất chơi game mượt chíp snap thứ hai pin trâu xài cả ngày còn number thư ba màn_hình đẹp chụp hình sáng,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
sp tuyệt_vời chắt mua em nó quá chán hàng made in china người việt dùng hàng việt,Positive,GENERAL,5,"[('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mình mới mua hồi chiều minh vo cài_đặt tìm ram thấy mình hỏi ram nó nằm ở đâu,Negative,OTHERS,5,[]
mọi thứ xài khá ok pin tuột nhanh kinh_khủng xài tuột number chực numberp còn number ý game,Neutral,BATTERY,1,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
thấy mọi người đánh_giá lỗi phần_mềm bạn mua máy phần_mềm cập_nhật mình mua máy một tháng dùng ok một lỗi nào xiaomi update phần_mềm fix lỗi hết bạn yên_tâm mua nhé,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
dùng tạm camera quá tệ phần_mềm cài ứng_dụng mặc_định vinid mua sắmquá mua điện_thoại dùng cá_nhân mua điện_thoại vinmart quảng_cáo giá rẻ đáng bỏ tiền mua,Negative,CAMERA,1,"[('CAMERA', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative'), ('SER&ACC', 'Negative')]"
máy mượt pin trâu xạc pin nó ấm z nguy_hiểm_ad ngoài tốt,Positive,BATTERY,5,"[('BATTERY', 'Neutral'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
e hỏi máy mua một năm r dạo gần pin hay tụt nhanh lắmgiúp em cách khác phục,Negative,BATTERY,5,"[('BATTERY', 'Negative')]"
sản_phẩm xài tốt number tháng thấy lỗi nào xài tốt chơi pubg call ò duty mobile max seettings ko gật lag nào hết,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mới mua đc number ngày xài tạm ổn pin tụt nhanh máy sạc nóngmới mua máy nóng còn ổn,Neutral,BATTERY,3,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
pin sạc number tiếng number pin trâu camera chụp hình khá đẹp trong kiện sáng tốt chế_độ chụp cảnh buổi tối khá tốt cảm_biến vân tay nhạy thao_tác xem phim nghe nhạc lướt web mượt quay_phim chống rung tốt loa đủ nghe ấm màn_hình hiển nét mình k biết rổ hay đánh_giá number ngày mình sử_dụng điện_thoại tốt trong tầm giá number triệu đòi_hỏi về game hay thao_tác nặng hơn,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('CAMERA', 'Positive'), ('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
good máy dùng mượt pin hơi kém tí nói_chung ok nhân_viên nhiệt_tình thanks thế_giới di_động,Positive,BATTERY,5,"[('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
quá thất_vọng mời mua number ngày xài cảm_giác quá tệ luôn thua cả con jnumberpro mua năm number pin nhanh hết zalo fb thôi xài number buổi bình_thường hết number pin còn bắt sóng wifi numberg kém chat zalo nhận tin hoặc lâu mới nhận còn kiểu_dáng camera tốc_độ ok đề_nghị samsung xem,Neutral,CAMERA,2,"[('CAMERA', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Positive'), ('GENERAL', 'Negative')]"
sản_phẩm tốt chơi game tốt pin trâu tội ứng_dụng máy dính quảng_cáo quá trong phần cài_đặt quảng_cáo gg chèn,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Neutral'), ('GENERAL', 'Positive')]"
sai_lầm mua đt ghê ă nghe nv tư_vấn xoq mua lun về xem cấu_hình mới thấy chán tầm giá màn_hình mức hd sử sụng chip yếu chơi game giật liên_tục,Negative,SCREEN,2,"[('SCREEN', 'Negative'), ('PERFORMANCE', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Negative')]"
mình mới mua điện number gb màu tím mức giá thế bạn mua một bản_thân chơi game mượt loa tốt wifi ổn tác vụ bình_thường ok,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
thiết_kế đẹp giá_thành chất_lượng cực ổn mình đi du_lịch cầm con selfie ưng_ý,Positive,CAMERA,5,"[('CAMERA', 'Positive'), ('DESIGN', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
sao mình sài đc number tháng hư lỗ cắm tai_nghe gọi người khác màn_hình tắt,Negative,FEATURES,3,"[('FEATURES', 'Neutral'), ('DESIGN', 'Negative')]"
mua máy dc number tuần đối number triệu máy quá ok mọi thứ hoạt_động mượt đặc_biệt pin trâu xài number ngày mới sạc pin mình dùng toàn numberg k dùng wifi ít chơi game facebook zalo youtube thỉnh_thoảng xem phim đến tối muốn hết pin sạc k hết dc xứng_đáng số tiền bỏ,Positive,BATTERY,5,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive')]"
điện_thoại tin nhắn tới lâu_lâu nghe nó rè âm thâm tin nhắn đè_nén đi,Negative,FEATURES,4,"[('FEATURES', 'Negative')]"
ứng_dụng văn_phòng chán đặc_biệt ng sử dunbj email làm mình còn chơi game vs lướt web chấp_nhận đc pin khoẻ,Neutral,BATTERY,3,"[('BATTERY', 'Positive'), ('PERFORMANCE', 'Negative')]"
khá ok ngon về mọi thứ màn mượtpin khỏe sạc maxx sướngcảm giác phê lòi hơn hẳn ss về mọi mặthehe,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
hên ghê mua em giảm numberk giá ưu_đãi numbertrnumber mua number ốp lưng giá numberkthêm khách_hàng thân_thiết giảm thêm numberk tậu luôn tai phone nói thấy máy chạy mượt sao bạn chê mình chơi game quá ok nhân_viên nhiệt tìnhvui_vẻ,Positive,PERFORMANCE,5,"[('PERFORMANCE', 'Positive'), ('PRICE', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
mới mua cách đay mấy ngày thật tệ load hình quá chậm nhảy màn hinhloa nghe nhạc nhỏ,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
máy dùng tạm dùng quen ip sáng máy ko ưng về cảm_ứng chất_lượng video xem gây nhức mắt pin khoẻ dùng cả buổi sáng hết number,Negative,SCREEN,3,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('GENERAL', 'Neutral')]"
đánh_giá number năm sử_dụng chơi game cực pin trâusạc nhanhhiệu năng tốt chụp ảnh ở mức bình_thường đủ dùng làm k dùng sống ảo hay chụp chuyên_nghiệp update phần_mềm thường_xuyên nhược_điểm lớn nhất phần thiết_kế camera lồi quá xước màn_hình siêu bền gorillas number ghét nhất ở máy wifi hay lag kết đáng mua trong tầm giá,Positive,SCREEN,4,"[('SCREEN', 'Positive'), ('CAMERA', 'Neutral'), ('FEATURES', 'Negative'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('DESIGN', 'Negative'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy bỏ_túi hay chụp màn_hình loạn xì ngầu máy mới loa rè ai giống mình,Negative,FEATURES,3,"[('FEATURES', 'Negative')]"
đừng mua ai dự_định mua sản_phẩm xài number tháng dấu_hiệu đơ máy cảm_ứng lâu_lâu nhạy nói_chung thất_vọng mua nói kẻo mốt ôm hận,Negative,FEATURES,1,"[('FEATURES', 'Negative'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
sóng_sánh kém lắmgiữa đất thị_trấn đc number vạch wifi phòng trong cách khoảng numberm bắt đc number vạch gửi đi hãng thẩm_định pin đêm tắt hết ứng dụngmạng sáng dậy tụt number chơi liên_quân đôi khựng chútđc màn nét,Negative,SCREEN,2,"[('SCREEN', 'Positive'), ('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('PERFORMANCE', 'Negative')]"
mọi thứ ổn trừ đánh_thức cảm_ứng màn_hình sài nút bấm nguồn,Neutral,FEATURES,3,"[('FEATURES', 'Negative'), ('GENERAL', 'Positive')]"
huawei pnumber lite sở_hữu màn_hình number inch độ phân_giải full hd phần notch kiểu giọt nước tích_hợp chip kirin number viên pin dung_lượng number mah hỗ_trợ sạc nhanh numberw trang cụm number camera number mp,Neutral,SCREEN,4,"[('SCREEN', 'Neutral'), ('CAMERA', 'Neutral'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Neutral'), ('DESIGN', 'Neutral'), ('SER&ACC', 'Neutral')]"
ok tất tội loa hơi nhỏ number tí màn_hình xem phim k mỏi_mắt hình_ảnh k mượt lắm còn chíp antutu đc numberk điểm mạnh hơn hẳn numberg,Neutral,SCREEN,4,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('PERFORMANCE', 'Positive'), ('GENERAL', 'Positive')]"
mình cảm_thấy oppo ko mượt quảng_cáo máy mình sử_dụng lỗi ứng_dụng number ngày đổi máy khác chụp hình mặt sưng ko đẹp ko đáng bỏ gần number triệu,Negative,PERFORMANCE,5,"[('PERFORMANCE', 'Negative'), ('DESIGN', 'Negative'), ('PRICE', 'Negative'), ('SER&ACC', 'Negative')]"
tôi thích sản_phẩm tâm già number khó còn nào nó vẻ ngoài hình lẫn chức_năng,Positive,DESIGN,5,"[('DESIGN', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
pin tuột hơi nhanh đấy lướt fb bật tiết_kiệm pin numberp number còn number cảm_biến vâng tay tạm thôi chụp hình đẹp k hài_lòng về pin con thôi bù sạc nhanh_đỡ,Neutral,CAMERA,4,"[('CAMERA', 'Positive'), ('FEATURES', 'Neutral'), ('BATTERY', 'Neutral')]"
cảm_nhận mình sử_dụng anumber thật quá tốt mình sợ lỗi nó tham khảm ý_kiến mua thật chê_trách pin trâu màn đẹp xem phim chơi game thích đặc_biệt viền bezel máy mỏng ae nào còn lăng tăng hay tham khảm mình nói thật mua trải nghiệm mới biết máy thế_nào đâu một máy lỗi tất_cả lỗi đâu riêng mình đánh_giá e tốt tầm tiền bỏ nhé,Positive,SCREEN,5,"[('SCREEN', 'Positive'), ('BATTERY', 'Positive'), ('PERFORMANCE', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive')]"
máy ok hơi thất_vọng về pin tấm dán màn zin dùng tấm dán film cảm_giác k mượt thái_độ phục_vụ tốt number,Negative,BATTERY,4,"[('BATTERY', 'Negative'), ('GENERAL', 'Positive'), ('SER&ACC', 'Neutral')]"
máy mới nghe gọi to rõ ok nhân_viên tgdd nhiệt_tình thích máy tuy nghệ gọi đủ chức_năng nghe nhạc to khá hay,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('SER&ACC', 'Positive')]"
máy dùng ok pin trâu nhân_viên tư_vấn nhiệt_tình chất_lượng đúng giá_thành,Positive,BATTERY,4,"[('BATTERY', 'Positive'), ('PRICE', 'Neutral'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
quá ngon mọi người ơi ủng_hộ bác vượng đi nào v pin trâu mượt tính_năng thú_vị đặc_biệt trả_lời tin nhắn nhanh wp number,Positive,FEATURES,5,"[('FEATURES', 'Positive'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive'), ('SER&ACC', 'Positive')]"
dùng number ngày mọi trải nghiệm tuyệt_vời pin ổn màn_hình tốt hề xấu hay rổ duy_nhất khoảng chụp ảnh xóa_phông vật_thể làm tốt chắc thiếu camera tele,Positive,SCREEN,4,"[('SCREEN', 'Positive'), ('CAMERA', 'Negative'), ('BATTERY', 'Positive'), ('GENERAL', 'Positive')]"
điện_thoại mọi thứ ổn cảm_biến vân tay pin hơi tệ giá,Negative,FEATURES,4,"[('FEATURES', 'Negative'), ('BATTERY', 'Negative'), ('GENERAL', 'Positive')]"
ngày đầu mua về lỗi mở mạng đơ dag nt hoặc xem youtube fb lướt nhảy out ngoài lần ai nói màng amoled đẹp thấy chả đẹp chụp hình tệ xấu nhất gọi video thua xa con oppo fnumber nửa ai mua nhu_cầu chụp hình đừng mua dòng bin number bằng number fnumber thôi đc sax nhanh đem đi đỗi,Negative,SCREEN,3,"[('SCREEN', 'Negative'), ('CAMERA', 'Negative'), ('BATTERY', 'Neutral'), ('PERFORMANCE', 'Negative'), ('GENERAL', 'Negative')]"
mới mua hơn number tháng màn_hình lỗi number chấm xanh màn_hình cảm_ứng hơi đơ loa hơi rè mình đến điện_máy xanh bảo_hành màn hìnhquá buồn một giá cao đổi k hài_lòng cảm_thấy hối_hận mua máy,Negative,SCREEN,1,"[('SCREEN', 'Negative'), ('FEATURES', 'Negative'), ('PRICE', 'Negative'), ('GENERAL', 'Negative')]"
máy lỗi kết_nối bluetooth đổi máy mới tình_trạng kết_nối chập_chờn bao_giờ sài samsung ko hài hài_lòng bây_giờ,Negative,FEATURES,3,"[('FEATURES', 'Negative'), ('SER&ACC', 'Negative')]"
